trade_date,entry_ts,trade_id,signal_family
2021-09-08,2021-09-08 05:38:00+00:00,437,phase7_180min
2021-09-08,2021-09-08 07:12:00+00:00,438,phase7_180min
2021-09-09,2021-09-09 04:51:00+00:00,439,phase7_180min
2021-09-09,2021-09-09 05:11:00+00:00,440,phase7_180min
2021-09-09,2021-09-09 05:17:00+00:00,441,phase7_180min
2021-09-09,2021-09-09 05:40:00+00:00,442,phase7_180min
2021-09-09,2021-09-09 05:48:00+00:00,443,phase7_180min
2021-09-13,2021-09-13 05:48:00+00:00,444,phase7_180min
2021-09-13,2021-09-13 08:13:00+00:00,445,phase7_180min
2021-09-13,2021-09-13 08:45:00+00:00,446,phase7_180min
2021-09-14,2021-09-14 04:57:00+00:00,447,phase7_180min
2021-09-14,2021-09-14 05:02:00+00:00,448,phase7_180min
2021-09-14,2021-09-14 05:14:00+00:00,449,phase7_180min
2021-09-14,2021-09-14 05:15:00+00:00,450,phase7_180min
2021-09-14,2021-09-14 05:18:00+00:00,451,phase7_180min
2021-09-14,2021-09-14 10:00:00+00:00,452,phase7_180min
2021-09-15,2021-09-15 04:57:00+00:00,453,phase7_180min
2021-09-15,2021-09-15 05:05:00+00:00,454,phase7_180min
2021-09-15,2021-09-15 05:14:00+00:00,455,phase7_180min
2021-09-15,2021-09-15 05:19:00+00:00,456,phase7_180min
2021-09-15,2021-09-15 07:29:00+00:00,457,phase7_180min
2021-09-15,2021-09-15 08:38:00+00:00,458,phase7_180min
2021-09-16,2021-09-16 04:51:00+00:00,459,phase7_180min
2021-09-16,2021-09-16 04:57:00+00:00,460,phase7_180min
2021-09-16,2021-09-16 05:01:00+00:00,461,phase7_180min
2021-09-16,2021-09-16 05:30:00+00:00,462,phase7_180min
2021-09-16,2021-09-16 05:32:00+00:00,463,phase7_180min
2021-09-16,2021-09-16 05:38:00+00:00,464,phase7_180min
2021-09-16,2021-09-16 08:11:00+00:00,465,phase7_180min
2021-09-16,2021-09-16 08:21:00+00:00,466,phase7_180min
2021-09-16,2021-09-16 08:32:00+00:00,467,phase7_180min
2021-09-17,2021-09-17 08:05:00+00:00,468,phase7_180min
2021-09-20,2021-09-20 07:42:00+00:00,469,phase7_180min
2021-09-21,2021-09-21 07:01:00+00:00,470,phase7_180min
2021-09-22,2021-09-22 08:32:00+00:00,471,phase7_180min
2021-09-22,2021-09-22 08:42:00+00:00,472,phase7_180min
2021-09-23,2021-09-23 04:58:00+00:00,473,phase7_180min
2021-09-23,2021-09-23 05:36:00+00:00,474,phase7_180min
2021-09-23,2021-09-23 05:43:00+00:00,475,phase7_180min
2021-09-23,2021-09-23 06:04:00+00:00,476,phase7_180min
2021-09-23,2021-09-23 06:33:00+00:00,477,phase7_180min
2021-09-23,2021-09-23 06:36:00+00:00,478,phase7_180min
2021-09-24,2021-09-24 06:41:00+00:00,479,phase7_180min
2021-09-27,2021-09-27 06:51:00+00:00,480,phase7_180min
2021-09-27,2021-09-27 07:02:00+00:00,481,phase7_180min
2021-09-27,2021-09-27 07:48:00+00:00,482,phase7_180min
2021-09-27,2021-09-27 07:59:00+00:00,483,phase7_180min
2021-09-27,2021-09-27 08:28:00+00:00,484,phase7_180min
2021-09-27,2021-09-27 08:35:00+00:00,485,phase7_180min
2021-09-28,2021-09-28 05:24:00+00:00,486,phase7_180min
2021-09-28,2021-09-28 05:33:00+00:00,487,phase7_180min
2021-09-28,2021-09-28 05:37:00+00:00,488,phase7_180min
2021-09-28,2021-09-28 08:08:00+00:00,489,phase7_180min
2021-09-29,2021-09-29 06:17:00+00:00,490,phase7_180min
2021-09-29,2021-09-29 07:11:00+00:00,491,phase7_180min
2021-09-30,2021-09-30 04:53:00+00:00,492,phase7_180min
2021-09-30,2021-09-30 05:05:00+00:00,493,phase7_180min
2021-09-30,2021-09-30 07:18:00+00:00,494,phase7_180min
2021-09-30,2021-09-30 07:25:00+00:00,495,phase7_180min
2021-09-30,2021-09-30 07:29:00+00:00,496,phase7_180min
2021-09-30,2021-09-30 07:35:00+00:00,497,phase7_180min
2021-09-30,2021-09-30 07:38:00+00:00,498,phase7_180min
2021-09-30,2021-09-30 07:41:00+00:00,499,phase7_180min
2021-09-30,2021-09-30 07:43:00+00:00,500,phase7_180min
2021-09-30,2021-09-30 07:47:00+00:00,501,phase7_180min
2021-09-30,2021-09-30 07:51:00+00:00,502,phase7_180min
2021-09-30,2021-09-30 08:12:00+00:00,503,phase7_180min
2021-10-01,2021-10-01 07:40:00+00:00,504,phase7_180min
2021-10-04,2021-10-04 06:12:00+00:00,505,phase7_180min
2021-10-04,2021-10-04 06:49:00+00:00,506,phase7_180min
2021-10-04,2021-10-04 08:03:00+00:00,507,phase7_180min
2021-10-04,2021-10-04 08:22:00+00:00,508,phase7_180min
2021-10-05,2021-10-05 05:34:00+00:00,509,phase7_180min
2021-10-05,2021-10-05 05:51:00+00:00,510,phase7_180min
2021-10-05,2021-10-05 06:30:00+00:00,511,phase7_180min
2021-10-05,2021-10-05 07:34:00+00:00,512,phase7_180min
2021-10-06,2021-10-06 06:28:00+00:00,513,phase7_180min
2021-10-06,2021-10-06 06:40:00+00:00,514,phase7_180min
2021-10-06,2021-10-06 08:49:00+00:00,515,phase7_180min
2021-10-07,2021-10-07 04:54:00+00:00,516,phase7_180min
2021-10-07,2021-10-07 05:02:00+00:00,517,phase7_180min
2021-10-07,2021-10-07 05:07:00+00:00,518,phase7_180min
2021-10-07,2021-10-07 05:22:00+00:00,519,phase7_180min
2021-10-07,2021-10-07 05:27:00+00:00,520,phase7_180min
2021-10-07,2021-10-07 08:14:00+00:00,521,phase7_180min
2021-10-07,2021-10-07 08:15:00+00:00,522,phase7_180min
2021-10-08,2021-10-08 07:54:00+00:00,523,phase7_180min
2021-10-11,2021-10-11 06:45:00+00:00,524,phase7_180min
2021-10-11,2021-10-11 07:35:00+00:00,525,phase7_180min
2021-10-13,2021-10-13 05:00:00+00:00,526,phase7_180min
2021-10-13,2021-10-13 05:02:00+00:00,527,phase7_180min
2021-10-13,2021-10-13 05:26:00+00:00,528,phase7_180min
2021-10-13,2021-10-13 05:30:00+00:00,529,phase7_180min
2021-10-13,2021-10-13 06:04:00+00:00,530,phase7_180min
2021-10-13,2021-10-13 08:38:00+00:00,531,phase7_180min
2021-10-14,2021-10-14 04:53:00+00:00,532,phase7_180min
2021-10-14,2021-10-14 04:58:00+00:00,533,phase7_180min
2021-10-14,2021-10-14 05:05:00+00:00,534,phase7_180min
2021-10-14,2021-10-14 05:07:00+00:00,535,phase7_180min
2021-10-14,2021-10-14 06:04:00+00:00,536,phase7_180min
2021-10-14,2021-10-14 07:37:00+00:00,537,phase7_180min
2021-10-14,2021-10-14 07:43:00+00:00,538,phase7_180min
2021-10-14,2021-10-14 07:59:00+00:00,539,phase7_180min
2021-10-14,2021-10-14 08:03:00+00:00,540,phase7_180min
